,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,^DJI,^GSPC,^DJI,^GSPC,^DJI,^GSPC,^DJI,^GSPC,^DJI,^GSPC,^DJI,^GSPC
Date,,,,,,,,,,,,
2017-07-12,21532.140625,2443.25,21532.140625,2443.25,21580.7890625,2445.760009765625,21467.9296875,2435.75,21467.9296875,2435.75,267870000,3176900000
2017-07-13,21553.08984375,2447.830078125,21553.08984375,2447.830078125,21568.720703125,2449.320068359375,21512.359375,2441.68994140625,21537.189453125,2444.989990234375,232270000,3068510000
2017-07-14,21637.740234375,2459.27001953125,21637.740234375,2459.27001953125,21681.529296875,2463.5400390625,21521.720703125,2446.68994140625,21532.76953125,2449.159912109375,235590000,2738460000
2017-07-17,21629.720703125,2459.139892578125,21629.720703125,2459.139892578125,21661.810546875,2462.820068359375,21617.66015625,2457.159912109375,21633.970703125,2459.5,244780000,2800580000
2017-07-18,21574.73046875,2460.610107421875,21574.73046875,2460.610107421875,21589.939453125,2460.919921875,21471.140625,2450.340087890625,21589.939453125,2455.8798828125,251110000,2974090000
2017-07-19,21640.75,2473.830078125,21640.75,2473.830078125,21640.75,2473.830078125,21565.83984375,2463.85009765625,21569.25,2463.85009765625,253040000,3063810000
2017-07-20,21611.779296875,2473.449951171875,21611.779296875,2473.449951171875,21661.91015625,2477.6201171875,21576.9609375,2468.429931640625,21641.5390625,2475.56005859375,313950000,3223820000
2017-07-21,21580.0703125,2472.5400390625,21580.0703125,2472.5400390625,21592.609375,2472.5400390625,21503.779296875,2465.06005859375,21591.720703125,2467.39990234375,362830000,3066880000
2017-07-24,21513.169921875,2469.909912109375,21513.169921875,2469.909912109375,21577.779296875,2473.10009765625,21496.130859375,2466.320068359375,21577.779296875,2472.0400390625,284080000,3019920000
2017-07-25,21613.4296875,2477.1298828125,21613.4296875,2477.1298828125,21670.619140625,2481.239990234375,21577.369140625,2474.909912109375,21638.560546875,2477.8798828125,304300000,4116360000
2017-07-26,21711.009765625,2477.830078125,21711.009765625,2477.830078125,21742.69921875,2481.68994140625,21683.2890625,2474.93994140625,21690.380859375,2479.969970703125,278240000,3597830000
2017-07-27,21796.55078125,2475.419921875,21796.55078125,2475.419921875,21798.470703125,2484.0400390625,21687.849609375,2459.929931640625,21717.419921875,2482.760009765625,407320000,4035740000
2017-07-28,21830.310546875,2472.10009765625,21830.310546875,2472.10009765625,21841.1796875,2473.530029296875,21756.119140625,2464.659912109375,21787.509765625,2469.1201171875,285630000,3302850000
2017-07-31,21891.119140625,2470.300048828125,21891.119140625,2470.300048828125,21929.80078125,2477.9599609375,21861.7109375,2468.530029296875,21863.390625,2475.93994140625,307610000,3475930000
2017-08-01,21963.919921875,2476.35009765625,21963.919921875,2476.35009765625,21990.9609375,2478.510009765625,21940.810546875,2471.139892578125,21961.419921875,2477.10009765625,328410000,3470260000
2017-08-02,22016.240234375,2477.570068359375,22016.240234375,2477.570068359375,22036.099609375,2480.3798828125,21967.4609375,2466.47998046875,22004.359375,2480.3798828125,336820000,3487150000
2017-08-03,22026.099609375,2472.159912109375,22026.099609375,2472.159912109375,22044.849609375,2476.030029296875,21991.3203125,2468.85009765625,22007.580078125,2476.030029296875,278730000,3662410000
2017-08-04,22092.810546875,2476.830078125,22092.810546875,2476.830078125,22092.810546875,2480.0,22024.640625,2472.080078125,22058.390625,2476.8798828125,253640000,3239980000
2017-08-07,22118.419921875,2480.909912109375,22118.419921875,2480.909912109375,22121.150390625,2480.949951171875,22081.970703125,2475.8798828125,22100.19921875,2477.139892578125,213010000,2935130000
