,idDate,wind,temperature_mean
187,2013/10/10,5.0,19.0
188,2013/10/11,10.0,18.0
189,2013/10/12,10.0,22.0
190,2013/10/13,4.0,20.0
191,2013/10/14,5.0,20.0
192,2013/10/15,8.0,21.0
193,2013/10/16,6.0,23.0
194,2015/11/30,4.0,10.0
195,2013/12/12,2.0,11.0
196,2013/12/13,3.0,9.0
197,2013/12/10,2.0,10.0
198,2013/12/11,3.0,10.0
199,2013/12/16,4.0,10.0
200,2013/12/17,5.0,12.0
201,2013/12/14,3.0,10.0
202,2013/12/15,4.0,10.0
203,2013/12/18,3.0,10.0
204,2013/12/19,15.0,12.0
205,2012/10/31,13.0,15.0
206,2012/10/30,6.0,13.0
207,2015/10/30,5.0,17.0
208,2015/10/31,5.0,16.0
209,2014/11/18,4.0,12.0
210,2014/11/19,1.0,13.0
211,2014/11/14,7.0,16.0
212,2014/11/15,17.0,17.0
213,2014/11/16,21.0,18.0
214,2014/11/17,22.0,14.0
215,2014/11/10,2.0,15.0
216,2014/11/11,10.0,13.0
217,2014/11/12,13.0,16.0
218,2014/11/13,7.0,14.0
219,2009/11/01,3.0,16.0
220,2009/11/02,16.0,20.0
221,2009/11/05,7.0,14.0
222,2009/11/04,3.0,18.0
223,2009/11/07,11.0,14.0
224,2009/11/08,27.0,14.0
225,2009/04/06,4.0,14.0
226,2009/04/05,4.0,10.0
227,2011/05/03,9.0,17.0
228,2011/05/02,20.0,17.0
229,2011/05/01,6.0,17.0
230,2009/04/04,3.0,12.0
231,2011/05/07,18.0,20.0
232,2011/05/06,12.0,19.0
233,2011/05/05,6.0,16.0
234,2011/05/04,6.0,16.0
235,2009/04/03,3.0,11.0
236,2011/05/09,5.0,17.0
237,2011/05/08,9.0,20.0
238,2008/11/06,6.0,12.0
239,2011/09/18,9.0,24.0
240,2011/09/19,9.0,20.0
241,2008/11/07,4.0,12.0
242,2011/09/10,5.0,25.0
243,2011/09/11,5.0,23.0
244,2012/04/30,16.0,16.0
245,2011/09/13,6.0,23.0
246,2011/09/14,6.0,24.0
247,2011/09/15,6.0,24.0
248,2011/09/16,6.0,23.0
249,2010/10/05,5.0,20.0
250,2011/04/22,16.0,18.0
251,2011/04/23,8.0,17.0
252,2011/04/20,8.0,16.0
253,2011/04/21,19.0,18.0
254,2011/04/26,4.0,17.0
255,2011/04/27,4.0,16.0
256,2011/04/24,12.0,16.0
257,2011/04/25,21.0,17.0
258,2009/10/24,7.0,18.0
259,2009/10/25,3.0,18.0
260,2009/10/26,2.0,18.0
261,2009/10/27,3.0,16.0
262,2011/08/28,6.0,21.0
263,2011/08/29,6.0,24.0
264,2011/08/26,7.0,25.0
265,2011/08/27,15.0,24.0
266,2011/08/24,6.0,26.0
267,2011/08/25,6.0,26.0
268,2011/08/22,9.0,28.0
269,2011/08/23,6.0,26.0
270,2011/08/20,7.0,27.0
271,2011/08/21,6.0,27.0
272,2006/03/30,5.0,12.0
273,2014/05/31,7.0,19.0
274,2014/05/30,6.0,18.0
275,2011/03/09,15.0,10.0
276,2011/03/08,18.0,12.0
277,2011/03/01,13.0,8.0
278,2011/03/03,4.0,9.0
279,2011/03/02,3.0,7.0
280,2011/03/05,4.0,9.0
281,2011/03/04,5.0,10.0
282,2011/03/07,9.0,10.0
283,2011/03/06,4.0,9.0
284,2016/02/27,21.0,10.0
285,2016/02/26,8.0,10.0
286,2016/02/25,14.0,12.0
287,2016/02/24,7.0,10.0
288,2016/02/23,5.0,12.0
289,2016/02/22,7.0,15.0
290,2014/01/31,5.0,8.0
291,2014/01/30,9.0,6.0
292,2016/02/29,9.0,9.0
293,2016/02/28,4.0,8.0
294,2011/07/05,8.0,24.0
295,2011/07/04,11.0,28.0
296,2011/07/07,6.0,26.0
297,2011/07/06,8.0,24.0
298,2011/07/01,6.0,23.0
299,2011/07/03,5.0,26.0
300,2011/07/02,7.0,24.0
301,2011/07/09,8.0,28.0
302,2011/07/08,10.0,27.0
303,2010/09/02,7.0,22.0
304,2010/09/03,8.0,22.0
305,2010/09/01,7.0,22.0
306,2012/04/27,6.0,23.0
307,2012/03/06,4.0,8.0
308,2010/09/07,8.0,22.0
309,2010/02/25,15.0,14.0
310,2010/09/04,5.0,22.0
311,2012/08/24,7.0,26.0
312,2012/03/05,9.0,12.0
313,2012/08/27,6.0,24.0
314,2010/02/26,16.0,14.0
315,2012/08/30,9.0,26.0
316,2012/08/31,14.0,23.0
317,2010/02/21,4.0,8.0
318,2010/09/08,9.0,24.0
319,2012/08/20,6.0,28.0
320,2012/09/17,5.0,22.0
321,2010/09/09,6.0,22.0
322,2010/02/23,11.0,18.0
323,2012/09/16,4.0,21.0
324,2012/08/22,5.0,27.0
325,2012/09/15,5.0,20.0
326,2006/04/09,6.0,15.0
327,2012/09/14,9.0,22.0
328,2006/08/30,13.0,23.0
329,2012/09/13,14.0,21.0
330,2012/09/12,7.0,22.0
331,2010/06/30,6.0,23.0
332,2012/09/11,6.0,24.0
333,2012/09/10,6.0,22.0
334,2012/08/28,6.0,26.0
335,2013/11/28,11.0,7.0
336,2013/11/29,5.0,6.0
337,2013/11/26,11.0,8.0
338,2013/11/27,7.0,6.0
339,2013/11/24,5.0,9.0
340,2013/11/25,3.0,10.0
341,2013/11/22,16.0,10.0
342,2013/11/23,6.0,9.0
343,2013/11/20,8.0,8.0
344,2013/11/21,16.0,10.0
345,2009/12/31,14.0,13.0
346,2008/11/10,4.0,14.0
347,2011/04/10,6.0,18.0
348,2013/03/03,6.0,9.0
349,2010/07/31,7.0,24.0
350,2010/07/30,8.0,25.0
351,2016/05/17,7.0,18.0
352,2008/10/18,7.0,20.0
353,2008/10/19,9.0,20.0
354,2016/05/11,13.0,16.0
355,2016/05/10,9.0,18.0
356,2008/10/14,5.0,20.0
357,2008/10/15,5.0,20.0
358,2008/10/16,5.0,20.0
359,2008/10/17,4.0,18.0
360,2008/10/10,19.0,22.0
361,2009/12/30,6.0,14.0
362,2008/10/12,14.0,24.0
363,2008/10/13,6.0,22.0
364,2012/11/27,7.0,12.0
365,2012/11/26,3.0,14.0
366,2012/11/25,2.0,13.0
367,2012/11/24,3.0,14.0
368,2012/11/23,2.0,13.0
369,2012/11/22,4.0,16.0
370,2012/11/21,3.0,14.0
371,2012/11/20,3.0,13.0
372,2012/11/29,15.0,10.0
373,2012/11/28,9.0,10.0
374,2011/01/30,5.0,8.0
375,2013/10/09,6.0,19.0
376,2013/10/08,4.0,19.0
377,2013/10/07,4.0,20.0
378,2013/10/06,6.0,20.0
379,2013/10/05,10.0,24.0
380,2013/10/04,12.0,26.0
381,2013/10/03,11.0,24.0
382,2013/10/02,3.0,24.0
383,2013/10/01,7.0,24.0
384,2013/12/01,17.0,10.0
385,2013/12/03,9.0,14.0
386,2013/12/02,12.0,10.0
387,2013/12/05,3.0,10.0
388,2013/12/04,2.0,12.0
389,2013/12/07,2.0,9.0
390,2013/12/06,3.0,9.0
391,2013/12/09,3.0,11.0
392,2013/12/08,2.0,8.0
393,2010/04/20,5.0,16.0
394,2015/10/27,4.0,18.0
395,2015/10/26,4.0,18.0
396,2015/10/25,6.0,18.0
397,2015/10/24,4.0,16.0
398,2015/10/23,4.0,16.0
399,2015/10/22,5.0,14.0
400,2015/10/21,19.0,16.0
401,2015/10/20,21.0,20.0
402,2015/10/29,6.0,16.0
403,2015/10/28,18.0,18.0
404,2014/11/03,7.0,17.0
405,2014/11/02,4.0,18.0
406,2014/11/01,4.0,18.0
407,2014/11/07,4.0,14.0
408,2014/11/06,3.0,14.0
409,2014/11/05,4.0,12.0
410,2014/11/04,30.0,18.0
411,2014/11/09,5.0,64.0
412,2014/11/08,6.0,17.0
413,2014/10/22,17.0,20.0
414,2014/10/23,5.0,18.0
415,2014/10/20,3.0,21.0
416,2014/10/21,4.0,22.0
417,2014/10/26,3.0,19.0
418,2014/10/27,4.0,20.0
419,2014/10/24,5.0,17.0
420,2014/10/25,4.0,19.0
421,2014/10/28,4.0,19.0
422,2014/10/29,2.0,64.0
423,2008/12/14,17.0,9.0
424,2008/12/12,12.0,10.0
425,2008/12/13,10.0,8.0
426,2008/12/11,11.0,6.0
427,2008/12/18,8.0,11.0
428,2012/02/18,0.0,7.0
429,2012/02/19,1.0,8.0
430,2012/02/12,6.0,4.0
431,2012/02/13,7.0,4.0
432,2010/08/10,7.0,25.0
433,2010/08/11,6.0,24.0
434,2012/02/16,3.0,8.0
435,2010/08/17,6.0,24.0
436,2010/08/14,12.0,22.0
437,2012/02/15,7.0,6.0
438,2012/04/29,17.0,16.0
439,2012/04/28,11.0,20.0
440,2015/08/19,8.0,26.0
441,2011/09/09,5.0,23.0
442,2011/09/08,6.0,23.0
443,2012/04/21,7.0,15.0
444,2012/04/20,11.0,16.0
445,2011/09/05,6.0,24.0
446,2011/09/04,7.0,24.0
447,2012/04/25,6.0,13.0
448,2012/04/24,11.0,16.0
449,2011/09/01,5.0,26.0
450,2012/04/26,4.0,16.0
451,2011/04/30,17.0,18.0
452,2009/10/31,3.0,18.0
453,2009/10/30,2.0,17.0
454,2007/06/23,15.0,24.0
455,2015/09/30,11.0,20.0
456,2011/08/31,6.0,24.0
457,2011/08/30,7.0,26.0
458,2011/03/31,5.0,12.0
459,2007/02/25,9.0,13.0
460,2015/01/30,27.0,14.0
461,2015/01/31,18.0,12.0
462,2011/07/30,4.0,24.0
463,2011/07/31,6.0,23.0
464,2011/03/18,8.0,14.0
465,2011/03/19,7.0,12.0
466,2010/01/08,27.0,9.0
467,2010/01/09,11.0,6.0
468,2010/01/02,8.0,10.0
469,2010/01/03,3.0,8.0
470,2010/01/01,39.0,12.0
471,2010/01/06,5.0,9.0
472,2010/01/07,8.0,12.0
473,2006/01/19,7.0,10.0
474,2006/07/12,6.0,26.0
475,2011/04/28,5.0,16.0
476,2011/03/17,10.0,14.0
477,2012/08/25,5.0,28.0
